model,holdout_gen_gap_mean,holdout_gen_gap_max,holdout_best_alpha_by_max_gap,holdout_best_gap,holdout_best_edge_holdout,holdout_best_harmful,random_best_alpha_by_max_gap,random_best_gap,random_best_edge,random_best_harmful
inst,0.03320677703195332,0.08089097974724535,-10.0,0.4618361825964959,0.39566381740350404,0.8574999999999999,6.0,0.09625000000000006,0.9037499999999999,1.0
base,0.017185815063740048,0.05671374713205535,4.0,0.14521223925844973,0.4772877607415502,0.6224999999999999,0.0,0.06666666666666664,0.10833333333333335,0.175
