model,holdout_gen_gap_mean,holdout_gen_gap_max,holdout_best_alpha_by_max_gap,holdout_best_gap,holdout_best_edge_holdout,holdout_best_harmful,random_best_alpha_by_max_gap,random_best_gap,random_best_edge,random_best_harmful
inst,0.03200298845786366,0.08176886352788287,-10.0,0.5217825905217975,0.27571740947820256,0.7975000000000001,0.0,0.09166666666666656,0.9083333333333334,1.0
base,0.016664809681080982,0.048854841624604295,4.0,0.15992548846882082,0.5150745115311792,0.675,0.0,0.06666666666666664,0.10833333333333335,0.175
