model,holdout_gen_gap_mean,holdout_gen_gap_max,holdout_best_alpha_by_max_gap,holdout_best_gap,holdout_best_edge_holdout,holdout_best_harmful,random_best_alpha_by_max_gap,random_best_gap,random_best_edge,random_best_harmful
inst,0.031000547295439985,0.08003128587744601,-10.0,0.3967568985397575,0.5182431014602426,0.915,6.0,0.09458333333333324,0.9054166666666668,1.0
base,0.013676199131569417,0.04606588847871798,6.0,0.14146337699183875,0.5460366230081612,0.6875,-1.0,0.07166666666666666,0.10958333333333334,0.18125
