alpha,edge_mean_holdout,edge_std_holdout,harm_mean_holdout,harm_std_holdout,gap_mean_holdout,gap_std_holdout,edge_mean_random,edge_std_random,harm_mean_random,harm_std_random,gap_mean_random,gap_std_random
-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22833333333333333,0.07467522272406618,0.2625,0.09601432184835759,0.034166666666666665,0.03684615161572356
-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20166666666666666,0.0550883129367947,0.23500000000000001,0.07875992001011681,0.03333333333333333,0.031595314350214794
-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17666666666666667,0.05250661334007788,0.21500000000000002,0.05258920991990657,0.038333333333333344,0.01801812359203305
-4.0,0.010183841315916788,0.009379627185783416,0.005,0.006846531968814577,-0.005183841315916787,0.016191059958917058,0.15333333333333332,0.041499665326629104,0.2,0.04238956239453292,0.046666666666666676,0.015422296269434787
-2.0,0.04377807141158596,0.011009130839392655,0.045,0.011180339887498947,0.0012219285884140397,0.020162396658268647,0.12333333333333334,0.016029486718059448,0.1875,0.01530931089239487,0.06416666666666668,0.018304902197073994
-1.0,0.07001352589775998,0.01289203682791721,0.075,0.0,0.00498647410224001,0.01289203682791721,0.11333333333333333,0.007453559924999302,0.19,0.013693063937629167,0.07666666666666666,0.014907119849998604
0.0,0.10319716846419758,0.0223236762279068,0.175,0.0,0.07180283153580243,0.0223236762279068,0.10833333333333335,0.0,0.175,0.0,0.06666666666666665,0.0
1.0,0.19392267044329725,0.04958393650690396,0.23500000000000001,0.005590169943749467,0.04107732955670275,0.046590312427662664,0.10666666666666666,0.0037267799624996494,0.16499999999999998,0.01629800601300662,0.05833333333333333,0.014731391274719742
2.0,0.24638902652973646,0.04260224765597594,0.295,0.016770509831248448,0.04861097347026351,0.046010207008881004,0.10500000000000001,0.007453559924999302,0.14500000000000002,0.03259601202601324,0.04,0.027259045389660203
4.0,0.4285440097336483,0.09199332290329953,0.47750000000000004,0.03354101966249683,0.048955990266351654,0.07646470472764261,0.09666666666666666,0.01825741858350554,0.1275,0.05108204185425637,0.030833333333333334,0.03756938026283283
6.0,0.5460366230081612,0.12135882617278838,0.6875,0.04238956239453294,0.1414633769918388,0.0935989882371451,0.08166666666666667,0.02969754946867577,0.125,0.05659615711335885,0.043333333333333335,0.03098498740429701
