alpha,edge_mean_holdout,edge_std_holdout,harm_mean_holdout,harm_std_holdout,gap_mean_holdout,gap_std_holdout,edge_mean_random,edge_std_random,harm_mean_random,harm_std_random,gap_mean_random,gap_std_random
-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0767390962214756,0.19,0.08987839006123775,0.009999999999999995,0.02865624810674899
-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16999999999999998,0.06252777160768024,0.185,0.07363338237511571,0.015000000000000005,0.02578624741127634
-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14166666666666666,0.040397332145136085,0.1775,0.05108204185425637,0.03583333333333333,0.028351709727006666
-4.0,0.003333333333333333,0.007453559924999298,0.0025,0.005590169943749475,-0.0008333333333333332,0.010374916331657278,0.12833333333333333,0.030390970881350777,0.175,0.04677071733467426,0.04666666666666667,0.020069324297987155
-2.0,0.01713202939618034,0.01344320412959819,0.027500000000000004,0.005590169943749473,0.010367970603819662,0.014826954231730256,0.11666666666666667,0.01443375672974064,0.17250000000000001,0.01629800601300662,0.05583333333333333,0.01922996793202388
-1.0,0.057351743235977325,0.013014650951791553,0.0625,0.008838834764831842,0.005148256764022674,0.015438543656687946,0.11000000000000001,0.0037267799624996494,0.16749999999999998,0.011180339887498949,0.057499999999999996,0.010374916331657274
0.0,0.10319716846419758,0.0223236762279068,0.175,0.0,0.07180283153580243,0.0223236762279068,0.10833333333333335,0.0,0.175,0.0,0.06666666666666665,0.0
1.0,0.21072744261743304,0.04089790010151321,0.2475,0.010458250331675955,0.036772557382566975,0.04216091826479483,0.10833333333333335,0.0,0.1725,0.005590169943749468,0.06416666666666666,0.005590169943749466
2.0,0.30231606009028456,0.051776145027434134,0.385,0.03893102875599357,0.08268393990971541,0.03897346932273872,0.10666666666666666,0.009128709291752773,0.16499999999999998,0.02404423007708918,0.05833333333333333,0.016925080009658245
4.0,0.5150745115311792,0.11240471438549061,0.675,0.0414578098794425,0.15992548846882076,0.07773979247424931,0.10666666666666666,0.014907119849998597,0.15,0.05590169943749474,0.043333333333333335,0.044056466292954344
6.0,0.7416355090739485,0.08915515976207684,0.8699999999999999,0.02738612787525834,0.1283644909260515,0.0701701933247082,0.11166666666666666,0.03845993586404775,0.145,0.056319401630344046,0.03333333333333334,0.03572172541558802
