alpha,edge_mean_holdout,edge_std_holdout,harm_mean_holdout,harm_std_holdout,gap_mean_holdout,gap_std_holdout,edge_mean_random,edge_std_random,harm_mean_random,harm_std_random,gap_mean_random,gap_std_random
-10.0,0.395663817403504,0.059750197682224095,0.8574999999999999,0.014252192813739255,0.46183618259649606,0.056347891389488335,0.9366666666666668,0.01263812574008593,1.0,0.0,0.06333333333333335,0.012638125740085916
-8.0,0.4715108982266002,0.06955761414652374,0.9175000000000001,0.02877716108305335,0.4459891017733998,0.05027089146955379,0.9283333333333333,0.012638125740085913,1.0,0.0,0.07166666666666666,0.012638125740085918
-6.0,0.5956764530285477,0.028076977032892914,0.9775,0.013693063937629143,0.3818235469714524,0.015579163810629989,0.9216666666666666,0.0045643546458764605,1.0,0.0,0.07833333333333332,0.0045643546458764275
-4.0,0.7263750554956183,0.010426468361540497,1.0,0.0,0.2736249445043817,0.010426468361540512,0.9166666666666666,0.005892556509887925,1.0,0.0,0.08333333333333334,0.005892556509887913
-2.0,0.8368333194716311,0.016447756126224775,1.0,0.0,0.16316668052836905,0.01644775612622478,0.915,0.0037267799624996394,1.0,0.0,0.08500000000000003,0.0037267799624996364
-1.0,0.903186254814013,0.012650619349286204,1.0,0.0,0.09681374518598693,0.01265061934928619,0.9116666666666667,0.004564354645876366,1.0,0.0,0.08833333333333335,0.004564354645876369
0.0,0.9130275246552829,0.014600187011733153,1.0,0.0,0.08697247534471708,0.01460018701173317,0.9083333333333334,0.0,1.0,0.0,0.09166666666666667,0.0
1.0,0.9500412493025221,0.015960721215247758,1.0,0.0,0.049958750697477926,0.01596072121524774,0.9083333333333334,0.0,1.0,0.0,0.09166666666666667,0.0
2.0,0.9637126012245936,0.013067290682338178,1.0,0.0,0.03628739877540645,0.013067290682338173,0.9099999999999999,0.0037267799624996394,1.0,0.0,0.09000000000000001,0.0037267799624996364
4.0,0.9903586432399992,0.008819495372102021,1.0,0.0,0.00964135676000082,0.008819495372102002,0.9083333333333334,0.0,1.0,0.0,0.09166666666666667,0.0
6.0,0.9937484737484737,0.008561996278175272,1.0,0.0,0.0062515262515262515,0.008561996278175275,0.9033333333333333,0.007453559924999275,1.0,0.0,0.09666666666666665,0.007453559924999272
